position,depth_band,n,actual_sum,pred_sum,actual_over_pred
QB,off_chart,30,613.9287878787878,522.3388817423751,1.1753457560557137
QB,rank_1,120,3709.753578774167,3223.8445522834763,1.1507234665351707
QB,rank_2,95,1351.0965895215895,1787.4967667796143,0.7558595990949672
QB,rank_3,15,183.27936507936508,230.69776154902613,0.7944566251910335
QB,rank_4,1,21.0,16.28059193535998,1.2898793903426748
RB,deep,2,2.416666666666667,4.6709255723708365,0.517384965618288
RB,off_chart,76,316.6369045986693,363.9362050452719,0.8700340889669969
RB,rank_1,132,1673.996685912127,1590.7449098409256,1.0523350887726723
RB,rank_2,107,719.7019312386959,711.9353641815119,1.010909090133643
RB,rank_3,86,267.3009895333425,340.5850797700875,0.7848288295946036
RB,rank_4,17,48.28721719457013,67.98998313220537,0.7102107541441283
RB,rank_5,9,19.1875,26.98467429506072,0.7110517544216601
TE,deep,1,0.4,0.7461000602974395,0.5361211200553133
TE,off_chart,65,51.27814922006098,64.63291282072954,0.7933751858327925
TE,rank_1,142,583.5486559192442,557.5621952029859,1.0466072860388207
TE,rank_2,111,186.04585667600372,204.9938060442909,0.9075681859178063
TE,rank_3,80,67.61117697661815,86.35140945993595,0.7829771094586173
TE,rank_4,17,11.935999702911468,12.365187482983437,0.9652906370677676
TE,rank_5,6,5.821153846153846,4.281930916739682,1.3594693514079736
WR,deep,52,62.33441909397792,67.02043827184794,0.9300807440431438
WR,off_chart,128,157.61656186950304,204.15465828844805,0.7720448957221843
WR,rank_1,265,1605.6857677453265,1481.0121424715853,1.0841813660390927
WR,rank_2,184,482.2971447669977,472.3371419422365,1.0210866390557516
WR,rank_3,60,135.38947939315585,144.37590176066945,0.9377567706388403
WR,rank_4,21,61.439650382297444,53.48568531959783,1.1487120341671155
WR,rank_5,17,26.13557276057276,30.41386930427916,0.8593307381936947
