test_season,n_train_transitions,scope,position,stat,n_test,n_never_played_again,model_mae,naive_mae,model_bias,naive_bias,model_wins
2023,1,all_source_players,QB,games,85,19,3.2771501345512037,4.317647058823529,0.09656660006221367,0.9529411764705882,True
2023,1,target_roster_eligible,QB,games,77,11,3.34654869039683,4.1688311688311686,-0.1644850814416659,0.45454545454545453,True
2023,1,not_on_target_roster_attrition,QB,games,8,8,2.6091890345370543,5.75,2.6091890345370543,5.75,True
2023,1,all_source_players,RB,games,154,41,3.7501507341568288,4.746753246753247,-0.6248212182413371,1.9155844155844155,True
2023,1,target_roster_eligible,RB,games,137,24,3.9400834048314124,4.605839416058394,-0.9777682788862341,1.4233576642335766,True
2023,1,not_on_target_roster_attrition,RB,games,17,17,2.219516858720481,5.882352941176471,2.219516858720481,5.882352941176471,True
2023,1,all_source_players,WR,games,249,73,2.8548667989508285,4.5582329317269075,-0.37012078681013727,2.108433734939759,True
2023,1,target_roster_eligible,WR,games,226,50,2.931064895000394,4.389380530973451,-0.6221293919663339,1.6902654867256637,True
2023,1,not_on_target_roster_attrition,WR,games,23,23,2.106137681246403,6.217391304347826,2.106137681246403,6.217391304347826,True
2023,1,all_source_players,TE,games,135,33,3.0212534973448393,4.362962962962963,-0.29653662857094043,2.3777777777777778,True
2023,1,target_roster_eligible,TE,games,123,21,3.138197005199289,3.991869918699187,-0.5032799622692498,1.8130081300813008,True
2023,1,not_on_target_roster_attrition,TE,games,12,12,1.8225825418367305,8.166666666666666,1.8225825418367305,8.166666666666666,True
2024,2,all_source_players,QB,games,82,18,2.686814845205738,3.9390243902439024,0.4717696278420353,1.2804878048780488,True
2024,2,target_roster_eligible,QB,games,77,13,2.750386149843498,3.9740259740259742,0.3915068274561785,1.1428571428571428,True
2024,2,not_on_target_roster_attrition,QB,games,5,5,1.7078167537842297,3.4,1.7078167537842297,3.4,True
2024,2,all_source_players,RB,games,141,40,2.951990193787152,4.361702127659575,0.1007592775207697,1.9361702127659575,True
2024,2,target_roster_eligible,RB,games,125,24,2.948707760249853,4.344,-0.2674807132986261,1.608,True
2024,2,not_on_target_roster_attrition,RB,games,16,16,2.9776342057973,4.5,2.9776342057973,4.5,True
2024,2,all_source_players,WR,games,238,56,3.1483736382185485,4.6344537815126055,0.5543248285493838,2.533613445378151,True
2024,2,target_roster_eligible,WR,games,225,43,3.186888095873825,4.395555555555555,0.44296091053488607,2.1733333333333333,True
2024,2,not_on_target_roster_attrition,WR,games,13,13,2.4817772557233844,8.76923076923077,2.4817772557233844,8.76923076923077,True
2024,2,all_source_players,TE,games,139,32,2.775443897360937,3.9928057553956835,-0.25489005277274174,1.618705035971223,True
2024,2,target_roster_eligible,TE,games,130,23,2.876259201141894,3.8153846153846156,-0.3638670993856546,1.2769230769230768,True
2024,2,not_on_target_roster_attrition,TE,games,9,9,1.3192228427471118,6.555555555555555,1.3192228427471118,6.555555555555555,True
2025,3,all_source_players,QB,games,79,16,2.9781600768526886,3.5443037974683542,0.3457142490078821,1.4936708860759493,True
2025,3,target_roster_eligible,QB,games,78,15,2.995527459726372,3.551282051282051,0.3293323263963754,1.4743589743589745,True
2025,3,not_on_target_roster_attrition,QB,games,1,1,1.6235042127054076,3.0,1.6235042127054076,3.0,True
2025,3,all_source_players,RB,games,144,41,4.00705396040647,4.875,-0.24446311813203256,2.4027777777777777,True
2025,3,target_roster_eligible,RB,games,131,28,4.237861011805506,4.694656488549619,-0.4355623417024664,1.9770992366412214,True
2025,3,not_on_target_roster_attrition,RB,games,13,13,1.6812290578469553,6.6923076923076925,1.6812290578469553,6.6923076923076925,True
2025,3,all_source_players,WR,games,248,65,3.6965469758544693,4.717741935483871,0.4381597884724327,2.2903225806451615,True
2025,3,target_roster_eligible,WR,games,228,45,3.82962020881907,4.535087719298246,0.2854095839473812,1.894736842105263,True
2025,3,not_on_target_roster_attrition,WR,games,20,20,2.1795121200580216,6.8,2.1795121200580216,6.8,True
2025,3,all_source_players,TE,games,139,27,4.0449089714883675,4.2086330935251794,-0.6611522103271202,1.8057553956834533,True
2025,3,target_roster_eligible,TE,games,125,13,4.244024570006863,3.928,-0.9891154641719588,1.256,False
2025,3,not_on_target_roster_attrition,TE,games,14,14,2.2670911275732246,6.714285714285714,2.2670911275732246,6.714285714285714,True
