event_id,as_of_date,source,gsis_id,player_name,team,position,injury_status,bucket,action,override_mode,override_games,remove_from_chart,promote_next,auto_safe,confirmed,on_curated_chart,reason
2026-08-16:RUC514959:season_ending,2026-08-16,sleeper,RUC514959,Corey Rucker,LV,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0039399:season_ending,2026-08-16,sleeper,00-0039399,Tanner McLachlan,SF,TE,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0040955:season_ending,2026-08-16,sleeper,00-0040955,John Michael Gyllenborg,KC,TE,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Knee
2026-08-16:00-0041187:season_ending,2026-08-16,sleeper,00-0041187,Le'Meke Brockington,,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0039379:season_ending,2026-08-16,sleeper,00-0039379,Jamari Thrash,CLE,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0041323:season_ending,2026-08-16,sleeper,00-0041323,Myles Montgomery,,RB,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0039916:season_ending,2026-08-16,sleeper,00-0039916,Ricky Pearsall,SF,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Knee - PCL
2026-08-16:00-0037327:season_ending,2026-08-16,sleeper,00-0037327,Skylar Thompson,BAL,QB,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0040649:season_ending,2026-08-16,sleeper,00-0040649,Robbie Ouzts,SEA,RB,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0035645:season_ending,2026-08-16,sleeper,00-0035645,Gunner Olszewski,NYG,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Achilles
2026-08-16:00-0037664:uncertain,2026-08-16,sleeper,00-0037664,Alec Pierce,IND,WR,PUP,uncertain,cap_availability,cap,8.0,False,False,True,False,True,sleeper injury_status=PUP; Ankle
2026-08-16:00-0041407:season_ending,2026-08-16,sleeper,00-0041407,Kyron Hudson,CHI,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0041307:season_ending,2026-08-16,sleeper,00-0041307,Joshua Pitsenberger,HOU,RB,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Ankle
2026-08-16:00-0038720:season_ending,2026-08-16,sleeper,00-0038720,Julian Hill,NE,TE,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Knee
2026-08-16:00-0041322:season_ending,2026-08-16,sleeper,00-0041322,Jimmy Kibble,NE,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0033288:uncertain,2026-08-16,sleeper,00-0033288,George Kittle,SF,TE,PUP,uncertain,cap_availability,cap,8.0,False,False,True,False,True,sleeper injury_status=PUP; Achilles
2026-08-16:00-0035976:season_ending,2026-08-16,sleeper,00-0035976,Dan Chisena,CAR,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0040570:season_ending,2026-08-16,sleeper,00-0040570,Jeremiah Webb,NE,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Arm
2026-08-16:00-0036510:season_ending,2026-08-16,sleeper,00-0036510,Kenny Yeboah,ARI,TE,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Hamstring
2026-08-16:00-0039626:season_ending,2026-08-16,sleeper,00-0039626,Cole Burgess,PIT,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0040211:season_ending,2026-08-16,sleeper,00-0040211,Graham Mertz,HOU,QB,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Knee - ACL
2026-08-16:00-0038590:season_ending,2026-08-16,sleeper,00-0038590,Justin Shorter,LV,WR,IR,season_ending,override_zero,zero,,False,False,True,False,False,sleeper injury_status=IR; Undisclosed
2026-08-16:00-0041451:suspension,2026-08-16,sleeper,00-0041451,Brock Rechsteiner,NO,WR,Sus,suspension,override_zero,zero,,False,False,True,False,False,sleeper injury_status=Sus; Suspension
