player_id,display_name,preseason_team,preseason_position,preseason_status,season,roster_week,is_rookie,population_source,model_forecast_points,model_rate_points,projected_games,projected_volume_games,depth_tier,forecast_component_count,forecast_expected_component_count,forecast_covered,model_points_end_to_end,carry_forward_points,source_games_played,availability_adjusted_points,attempts,carries,completions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets,actual_games_played,actual_row_present,actual_played,actual_points,actual_zero_game_outcome,actual_zero_point_outcome,actual_rate_points,actual_position_finish,model_position_rank,carry_forward_position_rank,availability_adjusted_position_rank
00-0023459,Aaron Rodgers,NYJ,QB,ACT,2023,1,False,week1_roster_veteran,214.60582579832584,12.070324604042519,14.749027704344243,17.0,1.0,8.0,8.0,True,214.60582579832584,243.20000000000002,17.0,243.20000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,False,True,0.0,83.0,19.0,12.0,23.0
00-0024243,Marcedes Lewis,CHI,TE,ACT,2023,1,False,week1_roster_veteran,22.778592968371477,1.5941139525565404,12.956438149624784,17.0,3.0,4.0,4.0,True,22.778592968371477,21.6,17.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,4.0,0.0,0.0,5.0,17.0,True,True,10.9,False,False,0.6411764705882353,80.0,92.0,65.0,73.0
00-0026293,Matt Slater,NE,WR,ACT,2023,1,False,week1_roster_veteran,7.630403627887555,0.4489932820981598,1.1470336221849657,17.0,5.0,4.0,4.0,True,7.630403627887555,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,206.0,245.0,245.0
00-0026300,Josh Johnson,BAL,QB,ACT,2023,1,False,week1_roster_veteran,39.59538823006221,2.196260129874589,2.5357825292596883,17.0,2.0,8.0,8.0,True,39.59538823006221,0.7000000000000001,2.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,83.0,50.0,65.0,65.0
00-0026498,Matthew Stafford,LA,QB,ACT,2023,1,False,week1_roster_veteran,234.9433622187905,12.670583241061026,12.082869540736603,17.0,1.0,8.0,8.0,True,234.9433622187905,114.38000000000001,9.0,216.0511111111111,521.0,21.0,326.0,11.0,24.0,3965.0,0.0,0.0,0.0,0.0,65.0,0.0,15.0,True,True,239.1,False,False,15.94,16.0,15.0,30.0,28.0
00-0026625,Brian Hoyer,LV,QB,ACT,2023,1,False,week1_roster_veteran,11.29093066404799,0.6094128237549056,2.4535257881097206,17.0,2.0,8.0,8.0,True,11.29093066404799,1.48,1.0,25.16,42.0,3.0,23.0,2.0,0.0,231.0,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,True,True,4.94,False,False,1.6466666666666667,68.0,73.0,62.0,62.0
00-0027696,Jimmy Graham,NO,TE,ACT,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,6.0,0.0,0.0,7.0,13.0,True,True,30.9,False,False,2.376923076923077,55.0,154.0,134.5,134.5
00-0027948,Blaine Gabbert,KC,QB,ACT,2023,1,False,week1_roster_veteran,14.436443179081394,0.7859830743049391,3.500443600051006,17.0,2.0,8.0,8.0,True,14.436443179081394,5.16,1.0,87.72,35.0,7.0,18.0,3.0,0.0,185.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,True,True,5.9,False,False,2.95,66.0,67.0,61.0,53.0
00-0027973,Andy Dalton,CAR,QB,ACT,2023,1,False,week1_roster_veteran,88.71738031951406,4.9059571516608065,10.329302531465562,17.0,2.0,8.0,8.0,True,88.71738031951406,174.24,14.0,211.57714285714286,58.0,3.0,34.0,0.0,2.0,361.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,True,True,23.639999999999997,False,False,7.879999999999999,53.0,40.0,22.0,29.0
00-0028002,Randall Cobb,NYJ,WR,ACT,2023,1,False,week1_roster_veteran,19.841878638851114,1.2100631080584,8.614034359436264,17.0,3.0,4.0,4.0,True,19.841878638851114,64.7,13.0,84.6076923076923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,5.0,0.0,0.0,17.0,11.0,True,True,12.4,False,False,1.1272727272727272,163.0,151.0,91.0,90.0
