player_id,display_name,preseason_team,preseason_position,preseason_status,season,roster_week,is_rookie,population_source,model_forecast_points,projected_games,projected_volume_games,depth_tier,forecast_component_count,forecast_expected_component_count,forecast_covered,model_points_end_to_end,carry_forward_points,source_games_played,availability_adjusted_points,attempts,carries,completions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets,actual_games_played,actual_row_present,actual_played,actual_points,actual_zero_game_outcome,actual_zero_point_outcome,actual_position_finish,model_position_rank,carry_forward_position_rank,availability_adjusted_position_rank
00-0023459,Aaron Rodgers,PIT,QB,ACT,2025,1,False,week1_roster_veteran,208.20102947488297,14.40046164494287,17.0,1.0,8.0,8.0,True,208.20102947488297,256.58,17.0,256.58,529.0,21.0,327.0,7.0,24.0,3322.0,0.0,-9.0,1.0,1.0,61.0,1.0,16.0,True,True,226.57999999999998,False,False,18.0,19.0,16.0,24.0
00-0026158,Joe Flacco,CLE,QB,ACT,2025,1,False,week1_roster_veteran,164.46528824287705,11.964656161474256,17.0,1.0,8.0,8.0,True,164.46528824287705,107.03999999999999,8.0,227.45999999999998,436.0,21.0,251.0,10.0,15.0,2479.0,0.0,0.0,0.0,1.0,35.0,0.0,13.0,True,True,148.66,False,False,27.0,28.0,33.0,33.0
00-0026300,Josh Johnson,WAS,QB,ACT,2025,1,False,week1_roster_veteran,41.254645465311825,1.5964069822930835,17.0,3.0,8.0,8.0,True,41.254645465311825,0.78,6.0,2.21,56.0,12.0,34.0,2.0,1.0,372.0,0.0,0.0,0.0,1.0,55.0,0.0,5.0,True,True,26.380000000000003,False,False,53.0,44.0,64.0,67.0
00-0026498,Matthew Stafford,LA,QB,ACT,2025,1,False,week1_roster_veteran,203.11965702702915,14.231221203450922,17.0,1.0,8.0,8.0,True,203.11965702702915,218.57999999999998,16.0,232.24124999999998,620.0,29.0,388.0,8.0,46.0,4707.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,True,True,356.38,False,False,2.0,21.0,19.0,31.0
00-0027973,Andy Dalton,CAR,QB,ACT,2025,1,False,week1_roster_veteran,41.675909940281564,5.629120714309811,17.0,2.0,8.0,8.0,True,41.675909940281564,58.96,6.0,167.0533333333333,45.0,5.0,25.0,1.0,1.0,293.0,0.0,0.0,0.0,0.0,-2.0,0.0,4.0,True,True,13.520000000000001,False,False,58.0,42.0,43.0,46.0
00-0028118,Tyrod Taylor,NYJ,QB,ACT,2025,1,False,week1_roster_veteran,46.08858443248715,2.258470684105337,17.0,2.0,8.0,8.0,True,46.08858443248715,18.06,2.0,153.51,148.0,27.0,80.0,5.0,5.0,779.0,0.0,0.0,0.0,1.0,143.0,0.0,6.0,True,True,61.459999999999994,False,False,42.0,39.0,53.0,49.0
00-0028986,Case Keenum,CHI,QB,INA,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,87.0,99.5,85.5,85.5
00-0029263,Russell Wilson,NYG,QB,ACT,2025,1,False,week1_roster_veteran,148.29938585240293,13.348251030079227,17.0,1.0,8.0,8.0,True,148.29938585240293,180.78,11.0,279.3872727272727,129.0,18.0,69.0,3.0,3.0,831.0,0.0,0.0,0.0,0.0,106.0,0.0,6.0,True,True,49.84,False,False,44.0,30.0,23.0,17.0
00-0029604,Kirk Cousins,ATL,QB,ACT,2025,1,False,week1_roster_veteran,54.306996702604465,7.771236115096188,17.0,2.0,8.0,8.0,True,54.306996702604465,180.32,14.0,218.95999999999998,284.0,14.0,166.0,5.0,10.0,1721.0,0.0,0.0,0.0,1.0,7.0,0.0,10.0,True,True,105.54,False,False,35.0,37.0,24.0,35.0
00-0029892,Kyle Juszczyk,SF,RB,ACT,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,213.0,24.0,0.0,-3.0,28.0,17.0,True,True,45.0,False,False,70.0,171.0,146.0,146.0
