player_id,display_name,position,team,fantasy_pts,fantasy_pts_low,fantasy_pts_high,projected_games,fantasy_pts_season,source,low_confidence,role,depth_chart_status,depth_rank,season,team_identity_scale
00-0034857,Josh Allen,QB,BUF,25.37015342834228,13.69883443769457,34.859982006551576,15.55,409.32134866344387,v2_team_first,False,starter,starter,1.0,2026,1.0375544786163968
00-0033873,Patrick Mahomes,QB,KC,23.306611431126274,11.635292440478564,32.79644000933557,15.0,368.7860046424378,v2_team_first,False,starter,starter,1.0,2026,1.0548823759937331
00-0039851,Drake Maye,QB,NE,23.299841662229625,11.628522671581916,32.78967024043892,15.32,373.1819216784453,v2_team_first,False,starter,starter,1.0,2026,1.0454634680335861
00-0037834,Brock Purdy,QB,SF,22.710824946051133,11.039505955403422,32.200653524260424,15.0,360.57858617134815,v2_team_first,False,starter,starter,1.0,2026,1.0584631984318535
00-0036971,Trevor Lawrence,QB,JAX,22.295505574990568,10.624186584342858,31.785334153199862,15.0,353.17396350219644,v2_team_first,False,starter,starter,1.0,2026,1.0560393358631603
00-0040743,Tyler Shough,QB,NO,22.08534424041452,10.414025249766812,31.575172818623823,15.0,350.63005945192714,v2_team_first,False,starter,starter,1.0,2026,1.058409461149355
00-0038542,Bijan Robinson,RB,ATL,22.076597962675702,16.22944528276905,29.508842169211164,16.0,345.27975421801904,v2_team_first,False,starter,starter,1.0,2026,0.9775049885453763
00-0036355,Justin Herbert,QB,LAC,21.756502596917382,10.085183606269672,31.246331175126684,15.5,351.8184620184442,v2_team_first,False,starter,starter,1.0,2026,1.043272703891688
00-0040691,Jaxson Dart,QB,NYG,21.650297514281053,9.978978523633346,31.140126092490352,15.0,342.2893353427749,v2_team_first,False,starter,starter,1.0,2026,1.053994246859634
00-0033288,George Kittle,TE,SF,21.566991750927286,17.882099666491747,27.04050126402224,13.85,279.9099137092988,v2_team_first,True,starter,starter,1.0,2026,0.9370848890877242
00-0035228,Kyler Murray,QB,MIN,21.50099627343486,9.829677282787154,30.99082485164416,15.0,338.96948343642924,v2_team_first,False,starter,starter,1.0,2026,1.0510194632399008
00-0039910,Jayden Daniels,QB,WAS,21.244226434199525,9.572907443551816,30.734055012408824,15.0,334.8300775041086,v2_team_first,False,starter,starter,1.0,2026,1.0507327831436597
