season,team,oc_name,first_year_in_seat,promotion_type,prior_team,prior_role,hc_is_playcaller,confidence,notes
2016,ARI,Harold Goodwin,False,returning,,,False,high,OC since 2013
2017,ARI,Harold Goodwin,False,returning,,,False,high,Fired after 2017
2018,ARI,Mike McCoy,True,outside_hire,DEN,HC (2015-2016),False,medium,New HC Steve Wilks staff
2019,ARI,Kliff Kingsbury (HC),True,outside_hire,Texas Tech (college),HC,True,low,No prominent titled OC identified; Kingsbury (rookie HC from college spread system) presumed primary playcaller. Verify against team media guide.
2020,ARI,Kliff Kingsbury (HC),False,returning,,,True,low,Same caveat as 2019
2021,ARI,Kliff Kingsbury (HC),False,returning,,,True,low,Same caveat as 2019
2022,ARI,Kliff Kingsbury (HC),False,returning,,,True,low,Kingsbury/staff fired after 2022; low confidence on exact OC of record this season
2023,ARI,Drew Petzing,True,outside_hire,MIN,passing game coordinator/WR coach,False,medium,New HC Jonathan Gannon staff
2024,ARI,Drew Petzing,False,returning,,,False,medium,Not independently re-verified for 2024
2025,ARI,Drew Petzing,False,returning,,,False,medium,Not independently re-verified for 2025
2016,ATL,Kyle Shanahan,False,returning,,,False,high,OC since 2015; departed to SF HC after 2016 (Super Bowl LI season)
2017,ATL,Steve Sarkisian,True,outside_hire,Alabama (college),offensive coordinator,False,medium,
2018,ATL,Steve Sarkisian,False,returning,,,False,medium,
2019,ATL,Dirk Koetter,True,outside_hire,TB,head coach,False,high,Rejoined ATL (was ATL OC 2012-2014) after TB HC stint
2020,ATL,Dirk Koetter,False,returning,,,False,high,
2021,ATL,Dave Ragone,True,outside_hire,HOU,QB coach,False,medium,New HC Arthur Smith staff
2022,ATL,Dave Ragone,False,returning,,,False,medium,
2023,ATL,Dave Ragone,False,returning,,,False,low,Tenure length/exact departure not independently verified
2024,ATL,Zac Robinson,True,outside_hire,LA,passing game coordinator,False,medium,
2025,ATL,Zac Robinson,False,returning,,,False,high,
2016,BAL,Marty Mornhinweg,True,outside_hire,NYJ,OC/assistant HC,False,medium,
2017,BAL,Marty Mornhinweg,False,returning,,,False,medium,
2018,BAL,Marty Mornhinweg,False,returning,,,False,medium,Departed after 2018
2019,BAL,Greg Roman,True,outside_hire,BUF,assistant HC/TE coach,False,high,
2020,BAL,Greg Roman,False,returning,,,False,high,
2021,BAL,Greg Roman,False,returning,,,False,high,
2022,BAL,Greg Roman,False,returning,,,False,high,
2023,BAL,Todd Monken,True,outside_hire,Georgia (college),offensive coordinator,False,high,
2024,BAL,Todd Monken,False,returning,,,False,high,
2025,BAL,Todd Monken,False,returning,,,False,high,
2016,BUF,Greg Roman,False,returning,,,False,low,Started 2015 under Rex Ryan; exact 2016-2017 Bills OC timeline not independently verified
2017,BUF,Rick Dennison,True,outside_hire,DEN,offensive coordinator,False,medium,
2018,BUF,Brian Daboll,True,outside_hire,Alabama (college),co-offensive coordinator,False,high,New HC Sean McDermott's first full staff build
2019,BUF,Brian Daboll,False,returning,,,False,high,
2020,BUF,Brian Daboll,False,returning,,,False,high,
2021,BUF,Brian Daboll,False,returning,,,False,high,
2022,BUF,Ken Dorsey,True,internal,BUF,QB coach,False,high,Promoted after Daboll left to be NYG HC
2023,BUF,Ken Dorsey,False,returning,,,False,high,Fired in-season (~week 15); Joe Brady took over playcalling as interim for remainder of season
2024,BUF,Joe Brady,True,internal,BUF,passing game coordinator,False,high,Formalized in full-season seat after 2023 interim promotion
2025,BUF,Joe Brady,False,returning,,,False,high,
2016,CAR,Mike Shula,False,returning,,,False,medium,
2017,CAR,Mike Shula,False,returning,,,False,medium,
2018,CAR,Norv Turner,True,outside_hire,MIN,offensive coordinator,False,medium,Resigned in-season (~week 9); Scott Turner (his son) took over playcalling as interim
2019,CAR,Scott Turner,True,internal,CAR,QB coach/2018 interim OC,False,low,
2020,CAR,Joe Brady,True,outside_hire,LSU (college),passing game coordinator,False,high,New HC Matt Rhule staff
2021,CAR,Joe Brady,False,returning,,,False,medium,Fired in-season (~week 12); Jeff Nixon interim rest of season
2022,CAR,Ben McAdoo,True,outside_hire,JAX,senior offensive assistant,False,low,Rhule/staff fired in-season (week 5); OC continuity through remainder of season uncertain
2023,CAR,Thomas Brown,True,internal,CAR,passing game coordinator,False,low,"New HC Frank Reich initially called plays himself; Brown reportedly took over playcalling mid-season after Reich was fired. High turbulence season,   low confidence on attribution."
2024,CAR,Dave Canales,True,outside_hire,TB,offensive coordinator,False,high,New HC
2025,CAR,Brad Idzik,True,outside_hire,TB,offensive assistant,False,medium,Verified via Wikipedia (2025 season page); exact prior title not confirmed
2016,CHI,Dowell Loggains,True,internal,CHI,QB coach,False,medium,
2017,CHI,Dowell Loggains,False,returning,,,False,medium,
2018,CHI,Mark Helfrich,True,outside_hire,Oregon (college),head coach,False,medium,New HC Matt Nagy staff
2019,CHI,Mark Helfrich,False,returning,,,False,medium,
2020,CHI,Bill Lazor,True,outside_hire,CIN,pass game coordinator,False,low,
2021,CHI,Bill Lazor,False,returning,,,False,low,
2022,CHI,Luke Getsy,True,outside_hire,GB,passing game coordinator,False,high,New HC Matt Eberflus staff
2023,CHI,Luke Getsy,False,returning,,,False,high,
2024,CHI,Shane Waldron,True,outside_hire,SEA,offensive coordinator,False,high,"Fired in-season (week 9,   first in-season OC change in franchise history); Thomas Brown (passing game coord) then Chris Beatty (WR coach) served as interim OC rest of season. Verified via Wikipedia."
2025,CHI,Declan Doyle,True,outside_hire,,,False,low,New HC Ben Johnson staff; prior team/role not confirmed in source consulted
2016,CIN,Ken Zampese,True,internal,CIN,QB coach,False,medium,
2017,CIN,Ken Zampese,False,returning,,,False,low,Fired early in season; Bill Lazor took over playcalling
2018,CIN,Bill Lazor,False,returning,,,False,low,
2019,CIN,Brian Callahan,True,outside_hire,DET,QB coach,True,low,New HC Zac Taylor is believed to have called plays himself for much of 2019-2021 with Callahan titled passing game coordinator/QB coach; exact OC-of-record title and playcalling split not independently verified for 2019-2021
2020,CIN,Brian Callahan,False,returning,,,True,low,See 2019 note
2021,CIN,Brian Callahan,False,returning,,,True,low,See 2019 note
2022,CIN,Brian Callahan,False,returning,,,False,low,Believed promoted to formal OC title around this time; exact year uncertain
2023,CIN,Brian Callahan,False,returning,,,False,medium,Left to become TEN HC after 2023
2024,CIN,Dan Pitcher,True,internal,CIN,QB coach,False,high,Verified via Wikipedia
2025,CIN,Dan Pitcher,False,returning,,,False,high,Verified via Wikipedia
2016,CLE,Pep Hamilton,True,outside_hire,IND,offensive coordinator (college/pro assistant),False,low,
2017,CLE,Pep Hamilton,False,returning,,,True,low,HC Hue Jackson believed heavily involved in playcalling
2018,CLE,Todd Haley,True,outside_hire,PIT,offensive coordinator,False,medium,
2019,CLE,Todd Monken,True,outside_hire,TB,offensive coordinator,True,low,HC Freddie Kitchens (2018 OC promoted to HC) reportedly retained playcalling duties despite Monken's OC title; ambiguous season
2020,CLE,Alex Van Pelt,True,internal,CLE,QB coach,False,high,New HC Kevin Stefanski staff
2021,CLE,Alex Van Pelt,False,returning,,,False,high,
2022,CLE,Alex Van Pelt,False,returning,,,False,high,
2023,CLE,Alex Van Pelt,False,returning,,,False,high,
2024,CLE,Ken Dorsey,True,outside_hire,BUF,offensive coordinator,False,high,Reportedly had play-calling duties curtailed/reassigned in-season; verify exact split
2025,CLE,Tommy Rees,True,internal,CLE,TE coach/passing game specialist,False,high,Verified via Wikipedia; replaced Dorsey (fired Jan 14 2025)
2016,DAL,Scott Linehan,False,returning,,,False,medium,OC since 2014
2017,DAL,Scott Linehan,False,returning,,,False,medium,
2018,DAL,Scott Linehan,False,returning,,,False,medium,
2019,DAL,Kellen Moore,True,internal,DAL,QB coach,False,high,
2020,DAL,Kellen Moore,False,returning,,,False,high,
2021,DAL,Kellen Moore,False,returning,,,False,high,
2022,DAL,Kellen Moore,False,returning,,,False,high,Left to LAC OC after 2022
2023,DAL,Brian Schottenheimer,True,outside_hire,SEA,passing game coordinator/QB coach,False,medium,
2024,DAL,Brian Schottenheimer,False,returning,,,False,high,
2025,DAL,Klayton Adams,True,internal,DAL,run game coordinator/OL coach,False,medium,Promoted when Schottenheimer became HC; verified via Wikipedia
2016,DEN,Rick Dennison,False,returning,,,False,medium,OC since 2015 under Gary Kubiak
2017,DEN,Mike McCoy,True,outside_hire,LAC,head coach,False,medium,Fired in-season (week 14); Bill Musgrave interim rest of season
2018,DEN,Bill Musgrave,True,internal,DEN,2017 interim OC,False,medium,
2019,DEN,Rich Scangarello,True,outside_hire,SF,QB coach,False,medium,New HC Vic Fangio staff
2020,DEN,Pat Shurmur,True,outside_hire,NYG,head coach,False,medium,
2021,DEN,Pat Shurmur,False,returning,,,False,medium,
2022,DEN,Justin Outten,True,outside_hire,GB,passing game coordinator,False,medium,New HC Nathaniel Hackett staff
2023,DEN,Klint Kubiak,True,outside_hire,MIN,passing game coordinator/QB coach,False,high,New HC Sean Payton staff
