season,team,position,depth_rank,player_name,gsis_id,role,confidence,notes
2026,ARI,QB,1,Jacoby Brissett,00-0033119,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,QB,2,Gardner Minshew,00-0035289,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,RB,1,Jeremiyah Love,00-0041027,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,RB,2,Tyler Allgeier,00-0037263,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,WR,1,Marvin Harrison Jr.,00-0039849,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,WR,2,Michael Wilson,00-0038559,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,WR,3,Kendrick Bourne,00-0033307,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,TE,1,Trey McBride,00-0037744,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ARI,TE,2,Elijah Higgins,00-0039041,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,QB,1,Michael Penix Jr.,00-0039917,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,QB,2,Tua Tagovailoa,00-0036212,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,RB,1,Bijan Robinson,00-0038542,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,RB,2,Brian Robinson,00-0037746,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,WR,1,Drake London,00-0037238,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,WR,2,Jahan Dotson,00-0037741,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,WR,3,Olamide Zaccheaus,00-0035208,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,TE,1,Kyle Pitts,00-0036970,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,ATL,TE,2,Charlie Woerner,00-0036429,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,QB,1,Lamar Jackson,00-0034796,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,QB,2,Tyler Huntley,00-0035993,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,RB,1,Derrick Henry,00-0032764,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,RB,2,Justice Hill,00-0034975,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
