season,gsis_id,player_name,as_of_date,mode,projected_games,reason
2026,00-0033288,George Kittle,2026-08-16,cap,8.0,sleeper injury_status=PUP; Achilles
2026,00-0035645,Gunner Olszewski,2026-08-16,zero,,sleeper injury_status=IR; Achilles
2026,00-0035976,Dan Chisena,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0036510,Kenny Yeboah,2026-08-16,zero,,sleeper injury_status=IR; Hamstring
2026,00-0037327,Skylar Thompson,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0037664,Alec Pierce,2026-08-16,cap,8.0,sleeper injury_status=PUP; Ankle
2026,00-0038590,Justin Shorter,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0038720,Julian Hill,2026-08-16,zero,,sleeper injury_status=IR; Knee
2026,00-0038735,Princeton Fant,2026-08-16,zero,,sleeper injury_status=IR; Knee - ACL + MCL
2026,00-0039165,Zach Charbonnet,2026-08-16,cap,8.0,sleeper injury_status=PUP; Knee - ACL
2026,00-0039244,Chris Collier,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0039379,Jamari Thrash,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0039399,Tanner McLachlan,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0039626,Cole Burgess,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0039916,Ricky Pearsall,2026-08-16,zero,,sleeper injury_status=IR; Knee - PCL
2026,00-0040211,Graham Mertz,2026-08-16,zero,,sleeper injury_status=IR; Knee - ACL
2026,00-0040570,Jeremiah Webb,2026-08-16,zero,,sleeper injury_status=IR; Arm
2026,00-0040649,Robbie Ouzts,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0040955,John Michael Gyllenborg,2026-08-16,zero,,sleeper injury_status=IR; Knee
2026,00-0041187,Le'Meke Brockington,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0041307,Joshua Pitsenberger,2026-08-16,zero,,sleeper injury_status=IR; Ankle
2026,00-0041322,Jimmy Kibble,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0041323,Myles Montgomery,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0041366,Jameson Geers,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0041407,Kyron Hudson,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
2026,00-0041451,Brock Rechsteiner,2026-08-16,zero,,sleeper injury_status=Sus; Suspension
2026,LAW090280,Kendrick Law,2026-08-16,zero,,sleeper injury_status=IR; Knee - ACL
2026,RUC514959,Corey Rucker,2026-08-16,zero,,sleeper injury_status=IR; Undisclosed
