game_id,season,week,gameday,weekday,gametime,away_team,home_team,location,away_rest,home_rest,div_game,roof,surface,stadium_id,stadium
2026_01_NE_SEA,2026,1,2026-09-09,Wednesday,20:20,NE,SEA,Home,7,7,0,outdoors,fieldturf,SEA00,Lumen Field
2026_01_SF_LA,2026,1,2026-09-10,Thursday,20:35,SF,LA,Neutral,7,7,1,dome,grass,MEL00,Melbourne Cricket Ground
2026_01_ARI_LAC,2026,1,2026-09-13,Sunday,16:25,ARI,LAC,Home,7,7,0,dome,matrixturf,LAX01,SoFi Stadium
2026_01_ATL_PIT,2026,1,2026-09-13,Sunday,13:00,ATL,PIT,Home,7,7,0,outdoors,grass,PIT00,Acrisure Stadium
2026_01_BAL_IND,2026,1,2026-09-13,Sunday,13:00,BAL,IND,Home,7,7,0,closed,fieldturf,IND00,Lucas Oil Stadium
2026_01_BUF_HOU,2026,1,2026-09-13,Sunday,13:00,BUF,HOU,Home,7,7,0,closed,astroturf,HOU00,Reliant Stadium
2026_01_CHI_CAR,2026,1,2026-09-13,Sunday,13:00,CHI,CAR,Home,7,7,0,outdoors,grass,CAR00,Bank of America Stadium
2026_01_CLE_JAX,2026,1,2026-09-13,Sunday,13:00,CLE,JAX,Home,7,7,0,outdoors,grass,JAX00,EverBank Stadium
2026_01_DAL_NYG,2026,1,2026-09-13,Sunday,20:20,DAL,NYG,Home,7,7,1,outdoors,fieldturf,NYC01,MetLife Stadium
2026_01_GB_MIN,2026,1,2026-09-13,Sunday,16:25,GB,MIN,Home,7,7,1,dome,sportturf,MIN01,U.S. Bank Stadium
2026_01_MIA_LV,2026,1,2026-09-13,Sunday,16:25,MIA,LV,Home,7,7,0,dome,grass,VEG00,Allegiant Stadium
2026_01_NO_DET,2026,1,2026-09-13,Sunday,13:00,NO,DET,Home,7,7,0,dome,fieldturf,DET00,Ford Field
2026_01_NYJ_TEN,2026,1,2026-09-13,Sunday,13:00,NYJ,TEN,Home,7,7,0,outdoors,grass,NAS00,Nissan Stadium
2026_01_TB_CIN,2026,1,2026-09-13,Sunday,13:00,TB,CIN,Home,7,7,0,outdoors,fieldturf,CIN00,Paycor Stadium
2026_01_WAS_PHI,2026,1,2026-09-13,Sunday,16:25,WAS,PHI,Home,7,7,1,outdoors,grass,PHI00,Lincoln Financial Field
2026_01_DEN_KC,2026,1,2026-09-14,Monday,20:15,DEN,KC,Home,7,7,1,outdoors,grass,KAN00,GEHA Field at Arrowhead Stadium
2026_02_DET_BUF,2026,2,2026-09-17,Thursday,20:15,DET,BUF,Home,4,4,0,outdoors,a_turf,BUF00,Highmark Stadium
2026_02_CAR_ATL,2026,2,2026-09-20,Sunday,13:00,CAR,ATL,Home,7,7,1,,fieldturf,ATL97,Mercedes-Benz Stadium
2026_02_CIN_HOU,2026,2,2026-09-20,Sunday,13:00,CIN,HOU,Home,7,7,0,,astroturf,HOU00,Reliant Stadium
2026_02_CLE_TB,2026,2,2026-09-20,Sunday,13:00,CLE,TB,Home,7,7,0,outdoors,grass,TAM00,Raymond James Stadium
2026_02_GB_NYJ,2026,2,2026-09-20,Sunday,13:00,GB,NYJ,Home,7,7,0,outdoors,fieldturf,NYC01,MetLife Stadium
2026_02_IND_KC,2026,2,2026-09-20,Sunday,20:20,IND,KC,Home,7,6,0,outdoors,grass,KAN00,GEHA Field at Arrowhead Stadium
